County,Population,Firearm Homicide,Total Homicide,Firearm Suicides,Total Suicides,Poverty %,Poverty % (U18),MedHHInc,PopDen
"Pickens County, SC",1346502.0,52.0,68.0,156.0,281.0,17.8,16.4,"54,415",95.373278
"Pierce County, GA",210258.0,,12.0,26.0,38.0,15.4,23.0,"51,688",21.73383004
"Pierce County, WA",9358680.0,255.0,376.0,787.0,1706.0,8.2,10.0,"85,492",199.0552976
"Pike County, AL",364741.0,32.0,42.0,43.0,57.0,23.9,30.0,"38,945",19.18998514
"Pike County, KY",675085.0,20.0,32.0,89.0,114.0,30.1,39.6,"38,066",29.68313316
"Pike County, MS",437921.0,60.0,72.0,44.0,52.0,27.6,39.4,"39,063",37.51072001
"Pike County, OH",310621.0,18.0,24.0,32.0,55.0,19.2,27.7,"49,357",24.7420808
"Pike County, PA",618918.0,,13.0,71.0,113.0,8.8,14.1,"70,065",39.32009236
"Pima County, AZ",11159823.0,503.0,721.0,1273.0,2207.0,14.7,20.4,"60,604",42.8548311
"Pinal County, AZ",4583511.0,166.0,243.0,421.0,735.0,10.7,14.3,"70,835",30.20127807
"Pinellas County, FL",10430677.0,312.0,497.0,1035.0,2106.0,12.3,15.7,"61,851",1351.009895
"Pitt County, NC",1937137.0,96.0,137.0,126.0,203.0,21.6,23.5,"48,116",104.9774445
"Pittsburg County, OK",490016.0,22.0,43.0,73.0,126.0,18.2,24.1,"47,589",13.12639847
"Pittsylvania County, VA",680258.0,17.0,35.0,98.0,136.0,13.1,18.3,"52,006",24.57499339
"Placer County, CA",4142771.0,46.0,78.0,259.0,569.0,6.6,7.2,"103,588",104.2928314
"Plaquemines Parish, LA",257615.0,,11.0,18.0,33.0,14.5,19.4,"68,765",11.56468855
"Platte County, MO",1069904.0,29.0,39.0,93.0,165.0,6.9,8.1,"86,720",90.89432517
"Plymouth County, MA",5603366.0,69.0,119.0,116.0,565.0,7.5,8.5,"99,445",300.0827076
"Poinsett County, AR",264797.0,14.0,21.0,41.0,67.0,22.2,30.3,"42,639",12.24652429
"Pointe Coupee Parish, LA",245013.0,21.0,25.0,30.0,43.0,18.8,27.3,"51,988",15.35347669
"Polk County, AR",222601.0,,12.0,46.0,60.0,19.3,28.8,"43,166",9.076778703
"Polk County, FL",7265454.0,242.0,367.0,535.0,1018.0,15.6,22.7,"56,344",143.6573523
"Polk County, GA",459498.0,27.0,31.0,58.0,85.0,17.7,26.8,"49,061",51.78338682
"Polk County, IA",5118520.0,119.0,185.0,296.0,726.0,10.1,11.6,"73,276",320.0174034
"Polk County, OR",886432.0,,13.0,58.0,115.0,11.0,12.6,"71,606",42.43236446
"Polk County, TN",184577.0,,11.0,33.0,45.0,13.5,21.0,"50,863",14.90915689
"Polk County, TX",527092.0,26.0,41.0,78.0,125.0,16.9,24.7,"50,827",17.47321699
"Pontotoc County, MS",342864.0,,10.0,37.0,60.0,16.3,22.7,"50,133",24.29022523
"Pontotoc County, OK",418922.0,17.0,28.0,40.0,59.0,17.4,20.4,"51,044",20.55752993
"Pope County, AR",696008.0,31.0,38.0,79.0,114.0,18.0,23.1,"47,049",30.24304863
"Portage County, OH",1784687.0,22.0,33.0,123.0,237.0,12.4,15.7,"65,445",128.8401928
"Portage County, WI",775473.0,,12.0,55.0,112.0,10.4,10.8,"66,471",34.03568264
"Porter County, IN",1844041.0,25.0,41.0,155.0,300.0,9.7,12.0,"80,878",155.1921167
"Portsmouth city, VA",1050047.0,136.0,170.0,90.0,148.0,17.6,25.8,"53,618",1105.078045
"Pottawatomie County, OK",788111.0,28.0,53.0,107.0,164.0,14.4,18.6,"51,569",35.2930702
"Pottawattamie County, IA",1026151.0,23.0,37.0,80.0,178.0,12.3,15.1,"66,144",37.9810442
"Potter County, TX",1325140.0,76.0,115.0,144.0,271.0,20.7,28.3,"45,904",51.38693315
"Powell County, KY",136645.0,,12.0,20.0,30.0,22.8,32.0,"40,116",26.57916715
"Powhatan County, VA",315051.0,,10.0,32.0,50.0,6.0,7.3,"99,854",42.39988143
"Preble County, OH",455968.0,,11.0,43.0,68.0,11.0,15.3,"56,134",37.50382619
